instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
26,1/2/2011,1,0,1,1,0,0,0,2,0.44,0.94,0.2537,17
27,1/2/2011,1,0,1,2,0,0,0,2,0.42,1,0.2836,9
28,1/2/2011,1,0,1,3,0,0,0,2,0.46,0.94,0.194,6
29,1/2/2011,1,0,1,4,0,0,0,2,0.46,0.94,0.194,3
30,1/2/2011,1,0,1,6,0,0,0,3,0.42,0.77,0.2985,2
31,1/2/2011,1,0,1,7,0,0,0,2,0.4,0.76,0.194,1
32,1/2/2011,1,0,1,8,0,0,0,3,0.4,0.71,0.2239,8
33,1/2/2011,1,0,1,9,0,0,0,2,0.38,0.76,0.2239,20
34,1/2/2011,1,0,1,10,0,0,0,2,0.36,0.81,0.2239,53
35,1/2/2011,1,0,1,11,0,0,0,2,0.36,0.71,0.2537,70
36,1/2/2011,1,0,1,12,0,0,0,2,0.36,0.66,0.2985,93
37,1/2/2011,1,0,1,13,0,0,0,2,0.36,0.66,0.1343,75
38,1/2/2011,1,0,1,14,0,0,0,3,0.36,0.76,0.194,59
39,1/2/2011,1,0,1,15,0,0,0,3,0.34,0.81,0.1642,74
40,1/2/2011,1,0,1,16,0,0,0,3,0.34,0.71,0.1642,76
41,1/2/2011,1,0,1,17,0,0,0,1,0.34,0.57,0.194,65
42,1/2/2011,1,0,1,18,0,0,0,2,0.36,0.46,0.3284,53
43,1/2/2011,1,0,1,19,0,0,0,1,0.32,0.42,0.4478,30
44,1/2/2011,1,0,1,20,0,0,0,1,0.3,0.39,0.3582,22
45,1/2/2011,1,0,1,21,0,0,0,1,0.26,0.44,0.3284,31
46,1/2/2011,1,0,1,22,0,0,0,1,0.24,0.44,0.2985,9
47,1/2/2011,1,0,1,23,0,0,0,1,0.22,0.47,0.1642,8
48,1/3/2011,1,0,1,0,0,1,1,1,0.22,0.44,0.3582,5
49,1/3/2011,1,0,1,1,0,1,1,1,0.2,0.44,0.4179,2
50,1/3/2011,1,0,1,4,0,1,1,1,0.16,0.47,0.3881,1
51,1/3/2011,1,0,1,5,0,1,1,1,0.16,0.47,0.2836,3
52,1/3/2011,1,0,1,6,0,1,1,1,0.14,0.5,0.3881,30
53,1/3/2011,1,0,1,7,0,1,1,1,0.14,0.5,0.194,64
54,1/3/2011,1,0,1,8,0,1,1,1,0.14,0.5,0.2836,154
55,1/3/2011,1,0,1,9,0,1,1,1,0.16,0.43,0.3881,88
56,1/3/2011,1,0,1,10,0,1,1,1,0.18,0.43,0.2537,44
57,1/3/2011,1,0,1,11,0,1,1,1,0.2,0.4,0.3284,51
58,1/3/2011,1,0,1,12,0,1,1,1,0.22,0.35,0.2985,61
59,1/3/2011,1,0,1,13,0,1,1,1,0.24,0.35,0.2836,61
60,1/3/2011,1,0,1,14,0,1,1,1,0.26,0.3,0.2836,77
61,1/3/2011,1,0,1,15,0,1,1,1,0.26,0.3,0.2537,72
62,1/3/2011,1,0,1,16,0,1,1,1,0.26,0.3,0.2537,76
63,1/3/2011,1,0,1,17,0,1,1,1,0.24,0.3,0.2239,157
64,1/3/2011,1,0,1,18,0,1,1,1,0.24,0.32,0.1045,157
65,1/3/2011,1,0,1,19,0,1,1,1,0.2,0.47,0,110
66,1/3/2011,1,0,1,20,0,1,1,1,0.2,0.47,0.1045,52
67,1/3/2011,1,0,1,21,0,1,1,1,0.18,0.64,0.1343,52
68,1/3/2011,1,0,1,22,0,1,1,1,0.14,0.69,0.1343,20
69,1/3/2011,1,0,1,23,0,1,1,1,0.18,0.55,0.1045,12
70,1/4/2011,1,0,1,0,0,2,1,1,0.16,0.55,0.1045,5
71,1/4/2011,1,0,1,1,0,2,1,1,0.16,0.59,0.1045,2
72,1/4/2011,1,0,1,2,0,2,1,1,0.14,0.63,0.1343,1
73,1/4/2011,1,0,1,4,0,2,1,1,0.14,0.63,0.0896,2
74,1/4/2011,1,0,1,5,0,2,1,1,0.12,0.68,0.1045,4
75,1/4/2011,1,0,1,6,0,2,1,1,0.12,0.74,0.1045,36
76,1/4/2011,1,0,1,7,0,2,1,1,0.12,0.74,0.1343,94
77,1/4/2011,1,0,1,8,0,2,1,1,0.14,0.69,0.1642,179
78,1/4/2011,1,0,1,9,0,2,1,1,0.16,0.64,0.2239,100
79,1/4/2011,1,0,1,10,0,2,1,2,0.16,0.69,0.3284,42
80,1/4/2011,1,0,1,11,0,2,1,1,0.22,0.51,0.2985,57
81,1/4/2011,1,0,1,12,0,2,1,1,0.22,0.51,0.1642,78
82,1/4/2011,1,0,1,13,0,2,1,1,0.24,0.56,0.194,97
83,1/4/2011,1,0,1,14,0,2,1,1,0.26,0.52,0.2239,63
84,1/4/2011,1,0,1,15,0,2,1,1,0.28,0.52,0.2537,65
85,1/4/2011,1,0,1,16,0,2,1,1,0.3,0.49,0.2537,83
86,1/4/2011,1,0,1,17,0,2,1,1,0.28,0.48,0.2239,212
87,1/4/2011,1,0,1,18,0,2,1,1,0.26,0.48,0.194,182
88,1/4/2011,1,0,1,19,0,2,1,1,0.24,0.48,0.1045,112
89,1/4/2011,1,0,1,20,0,2,1,1,0.24,0.48,0.1045,54
90,1/4/2011,1,0,1,21,0,2,1,1,0.22,0.64,0,48
91,1/4/2011,1,0,1,22,0,2,1,1,0.22,0.64,0.0896,35
92,1/4/2011,1,0,1,23,0,2,1,1,0.2,0.69,0.0896,11
93,1/5/2011,1,0,1,0,0,3,1,1,0.2,0.64,0,6
94,1/5/2011,1,0,1,1,0,3,1,1,0.16,0.74,0.0896,6
95,1/5/2011,1,0,1,2,0,3,1,1,0.16,0.74,0.0896,2
96,1/5/2011,1,0,1,4,0,3,1,1,0.24,0.48,0.2239,2
97,1/5/2011,1,0,1,5,0,3,1,1,0.22,0.47,0.1642,3
98,1/5/2011,1,0,1,6,0,3,1,1,0.2,0.47,0.2239,33
99,1/5/2011,1,0,1,7,0,3,1,1,0.18,0.43,0.194,88
100,1/5/2011,1,0,1,8,0,3,1,1,0.2,0.4,0.2985,195
101,1/5/2011,1,0,1,9,0,3,1,1,0.22,0.37,0.3284,115
102,1/5/2011,1,0,1,10,0,3,1,1,0.22,0.37,0.3284,57
103,1/5/2011,1,0,1,11,0,3,1,1,0.26,0.33,0.3284,46
104,1/5/2011,1,0,1,12,0,3,1,1,0.26,0.33,0.3284,79
105,1/5/2011,1,0,1,13,0,3,1,1,0.28,0.3,0.2985,71
106,1/5/2011,1,0,1,14,0,3,1,1,0.3,0.28,0.194,62
107,1/5/2011,1,0,1,15,0,3,1,1,0.3,0.28,0.194,62
108,1/5/2011,1,0,1,16,0,3,1,1,0.3,0.28,0.0896,89
109,1/5/2011,1,0,1,17,0,3,1,1,0.24,0.38,0.194,190
110,1/5/2011,1,0,1,18,0,3,1,1,0.24,0.38,0.1343,169
111,1/5/2011,1,0,1,19,0,3,1,1,0.24,0.38,0.1045,132
112,1/5/2011,1,0,1,20,0,3,1,1,0.22,0.47,0.1642,89
113,1/5/2011,1,0,1,21,0,3,1,1,0.2,0.51,0.194,43
114,1/5/2011,1,0,1,22,0,3,1,1,0.18,0.55,0.1343,42
115,1/5/2011,1,0,1,23,0,3,1,1,0.2,0.47,0,19
116,1/6/2011,1,0,1,0,0,4,1,1,0.18,0.55,0,11
117,1/6/2011,1,0,1,1,0,4,1,1,0.16,0.64,0,4
118,1/6/2011,1,0,1,2,0,4,1,1,0.16,0.64,0,2
119,1/6/2011,1,0,1,4,0,4,1,2,0.16,0.64,0.0896,1
120,1/6/2011,1,0,1,5,0,4,1,2,0.14,0.69,0.0896,4
121,1/6/2011,1,0,1,6,0,4,1,2,0.14,0.63,0.1045,36
122,1/6/2011,1,0,1,7,0,4,1,2,0.16,0.59,0,95
123,1/6/2011,1,0,1,8,0,4,1,1,0.16,0.59,0,219
124,1/6/2011,1,0,1,9,0,4,1,2,0.18,0.51,0,122
125,1/6/2011,1,0,1,10,0,4,1,1,0.2,0.47,0,45
126,1/6/2011,1,0,1,11,0,4,1,1,0.22,0.44,0.0896,59
127,1/6/2011,1,0,1,12,0,4,1,1,0.26,0.35,0,84
128,1/6/2011,1,0,1,13,0,4,1,1,0.26,0.35,0.1045,67
129,1/6/2011,1,0,1,14,0,4,1,1,0.28,0.36,0.1642,70
130,1/6/2011,1,0,1,15,0,4,1,1,0.28,0.36,0,62
131,1/6/2011,1,0,1,16,0,4,1,1,0.26,0.38,0.1642,86
132,1/6/2011,1,0,1,17,0,4,1,1,0.22,0.51,0.1642,172
133,1/6/2011,1,0,1,18,0,4,1,1,0.22,0.51,0.1343,163
134,1/6/2011,1,0,1,19,0,4,1,1,0.22,0.55,0.0896,112
135,1/6/2011,1,0,1,20,0,4,1,1,0.2,0.51,0.1642,69
136,1/6/2011,1,0,1,21,0,4,1,2,0.22,0.55,0.2239,48
137,1/6/2011,1,0,1,22,0,4,1,2,0.22,0.51,0.2836,52
138,1/6/2011,1,0,1,23,0,4,1,2,0.2,0.59,0.194,23
139,1/7/2011,1,0,1,0,0,5,1,2,0.2,0.64,0.194,17
140,1/7/2011,1,0,1,1,0,5,1,2,0.2,0.69,0.2239,7
141,1/7/2011,1,0,1,2,0,5,1,2,0.2,0.69,0.2239,1
142,1/7/2011,1,0,1,4,0,5,1,2,0.2,0.69,0.1343,1
143,1/7/2011,1,0,1,5,0,5,1,3,0.22,0.55,0,5
144,1/7/2011,1,0,1,6,0,5,1,2,0.2,0.69,0,34
145,1/7/2011,1,0,1,7,0,5,1,1,0.2,0.69,0.1343,84
146,1/7/2011,1,0,1,8,0,5,1,1,0.2,0.51,0.2537,210
147,1/7/2011,1,0,1,9,0,5,1,1,0.2,0.47,0.2985,134
148,1/7/2011,1,0,1,10,0,5,1,1,0.22,0.37,0.3284,63
149,1/7/2011,1,0,1,11,0,5,1,2,0.2,0.4,0.2239,67
150,1/7/2011,1,0,1,12,0,5,1,2,0.2,0.37,0.2537,59
151,1/7/2011,1,0,1,13,0,5,1,2,0.2,0.37,0.2836,73
152,1/7/2011,1,0,1,14,0,5,1,2,0.2,0.4,0.2537,50
153,1/7/2011,1,0,1,15,0,5,1,2,0.2,0.37,0.1642,72
154,1/7/2011,1,0,1,16,0,5,1,2,0.2,0.37,0.1642,87
155,1/7/2011,1,0,1,17,0,5,1,2,0.2,0.37,0,187
156,1/7/2011,1,0,1,18,0,5,1,1,0.2,0.4,0.0896,123
157,1/7/2011,1,0,1,19,0,5,1,1,0.16,0.55,0.0896,95
158,1/7/2011,1,0,1,20,0,5,1,1,0.18,0.47,0.1045,51
159,1/7/2011,1,0,1,21,0,5,1,1,0.18,0.47,0.1343,39
160,1/7/2011,1,0,1,22,0,5,1,2,0.18,0.43,0.1642,36
161,1/7/2011,1,0,1,23,0,5,1,2,0.18,0.51,0.1642,15
162,1/8/2011,1,0,1,0,0,6,0,2,0.18,0.51,0.1642,25
163,1/8/2011,1,0,1,1,0,6,0,2,0.18,0.55,0.0896,16
164,1/8/2011,1,0,1,2,0,6,0,2,0.18,0.55,0,16
165,1/8/2011,1,0,1,3,0,6,0,3,0.18,0.55,0.1642,7
166,1/8/2011,1,0,1,4,0,6,0,3,0.18,0.55,0.1642,1
167,1/8/2011,1,0,1,5,0,6,0,2,0.16,0.74,0.1642,5
168,1/8/2011,1,0,1,6,0,6,0,2,0.16,0.74,0.1642,2
169,1/8/2011,1,0,1,7,0,6,0,2,0.16,0.74,0.1045,9
170,1/8/2011,1,0,1,8,0,6,0,3,0.16,0.93,0.1045,15
171,1/8/2011,1,0,1,9,0,6,0,3,0.16,0.93,0.1045,20
172,1/8/2011,1,0,1,10,0,6,0,2,0.18,0.8,0.1642,61
173,1/8/2011,1,0,1,11,0,6,0,2,0.2,0.69,0.3881,62
174,1/8/2011,1,0,1,12,0,6,0,2,0.2,0.59,0.3582,98
175,1/8/2011,1,0,1,13,0,6,0,1,0.2,0.44,0.3284,102
176,1/8/2011,1,0,1,14,0,6,0,1,0.2,0.32,0.4925,95
177,1/8/2011,1,0,1,15,0,6,0,1,0.2,0.32,0.4478,74
178,1/8/2011,1,0,1,16,0,6,0,1,0.18,0.29,0.4478,76
179,1/8/2011,1,0,1,17,0,6,0,1,0.16,0.37,0.5522,69
180,1/8/2011,1,0,1,18,0,6,0,1,0.14,0.39,0.2985,55
181,1/8/2011,1,0,1,19,0,6,0,1,0.14,0.36,0.2537,30
182,1/8/2011,1,0,1,20,0,6,0,1,0.12,0.36,0.2537,28
183,1/8/2011,1,0,1,21,0,6,0,1,0.12,0.39,0.3582,37
184,1/8/2011,1,0,1,22,0,6,0,1,0.12,0.36,0.3881,34
185,1/8/2011,1,0,1,23,0,6,0,1,0.1,0.39,0.4478,22
186,1/9/2011,1,0,1,0,0,0,0,1,0.1,0.42,0.3881,25
187,1/9/2011,1,0,1,1,0,0,0,1,0.1,0.42,0.4627,12
188,1/9/2011,1,0,1,2,0,0,0,1,0.1,0.46,0.4627,11
189,1/9/2011,1,0,1,3,0,0,0,1,0.1,0.46,0.4179,4
190,1/9/2011,1,0,1,4,0,0,0,1,0.08,0.53,0.194,1
191,1/9/2011,1,0,1,5,0,0,0,1,0.08,0.53,0.194,1
192,1/9/2011,1,0,1,6,0,0,0,1,0.1,0.49,0.2836,1
193,1/9/2011,1,0,1,7,0,0,0,1,0.08,0.53,0.194,6
194,1/9/2011,1,0,1,8,0,0,0,1,0.1,0.49,0.2836,10
195,1/9/2011,1,0,1,9,0,0,0,1,0.12,0.46,0.5224,19
196,1/9/2011,1,0,1,10,0,0,0,1,0.14,0.43,0.3881,49
197,1/9/2011,1,0,1,11,0,0,0,1,0.16,0.4,0.5224,49
198,1/9/2011,1,0,1,12,0,0,0,1,0.18,0.37,0.4478,83
199,1/9/2011,1,0,1,13,0,0,0,1,0.2,0.34,0.4478,75
200,1/9/2011,1,0,1,14,0,0,0,1,0.22,0.32,0.4627,72
201,1/9/2011,1,0,1,15,0,0,0,1,0.22,0.35,0.3582,82
202,1/9/2011,1,0,1,16,0,0,0,1,0.2,0.34,0.4478,92
203,1/9/2011,1,0,1,17,0,0,0,1,0.18,0.37,0.3881,62
204,1/9/2011,1,0,1,18,0,0,0,1,0.16,0.4,0.3284,48
205,1/9/2011,1,0,1,19,0,0,0,1,0.16,0.43,0.3284,41
206,1/9/2011,1,0,1,20,0,0,0,1,0.14,0.46,0.2537,38
207,1/9/2011,1,0,1,21,0,0,0,1,0.14,0.46,0.4179,20
208,1/9/2011,1,0,1,22,0,0,0,1,0.14,0.46,0.2985,15
209,1/9/2011,1,0,1,23,0,0,0,1,0.12,0.5,0.194,6
210,1/10/2011,1,0,1,0,0,1,1,1,0.12,0.5,0.2836,5
211,1/10/2011,1,0,1,1,0,1,1,1,0.12,0.5,0.2836,1
212,1/10/2011,1,0,1,2,0,1,1,1,0.12,0.5,0.2239,3
213,1/10/2011,1,0,1,3,0,1,1,1,0.12,0.5,0.2239,1
214,1/10/2011,1,0,1,4,0,1,1,1,0.1,0.54,0.1343,3
215,1/10/2011,1,0,1,5,0,1,1,1,0.1,0.54,0.2537,3
216,1/10/2011,1,0,1,6,0,1,1,1,0.12,0.5,0.2836,31
217,1/10/2011,1,0,1,7,0,1,1,1,0.12,0.5,0.2239,77
218,1/10/2011,1,0,1,8,0,1,1,2,0.12,0.5,0.2836,188
219,1/10/2011,1,0,1,9,0,1,1,2,0.14,0.5,0.2537,94
220,1/10/2011,1,0,1,10,0,1,1,2,0.14,0.5,0.2985,31
221,1/10/2011,1,0,1,11,0,1,1,2,0.16,0.47,0.2836,30
222,1/10/2011,1,0,1,12,0,1,1,2,0.2,0.4,0.2836,52
223,1/10/2011,1,0,1,13,0,1,1,2,0.2,0.4,0.2836,54
224,1/10/2011,1,0,1,14,0,1,1,2,0.2,0.4,0.2239,47
225,1/10/2011,1,0,1,15,0,1,1,2,0.2,0.4,0.2239,45
226,1/10/2011,1,0,1,16,0,1,1,1,0.2,0.4,0.1343,74
227,1/10/2011,1,0,1,17,0,1,1,1,0.2,0.4,0.1045,178
228,1/10/2011,1,0,1,18,0,1,1,1,0.2,0.4,0.2239,155
229,1/10/2011,1,0,1,19,0,1,1,1,0.16,0.47,0.1642,95
230,1/10/2011,1,0,1,20,0,1,1,1,0.16,0.5,0.1642,74
231,1/10/2011,1,0,1,21,0,1,1,1,0.14,0.59,0.194,38
232,1/10/2011,1,0,1,22,0,1,1,1,0.14,0.59,0.1642,24
233,1/10/2011,1,0,1,23,0,1,1,1,0.14,0.59,0.1642,18
234,1/11/2011,1,0,1,0,0,2,1,1,0.14,0.59,0.1045,12
235,1/11/2011,1,0,1,1,0,2,1,1,0.14,0.59,0.1642,3
236,1/11/2011,1,0,1,2,0,2,1,2,0.16,0.55,0.194,3
237,1/11/2011,1,0,1,5,0,2,1,2,0.16,0.55,0.1343,6
238,1/11/2011,1,0,1,6,0,2,1,2,0.16,0.55,0.1343,27
239,1/11/2011,1,0,1,7,0,2,1,2,0.16,0.55,0,99
240,1/11/2011,1,0,1,8,0,2,1,2,0.18,0.51,0.0896,217
241,1/11/2011,1,0,1,9,0,2,1,2,0.18,0.51,0.1642,130
242,1/11/2011,1,0,1,10,0,2,1,2,0.2,0.51,0.1642,54
243,1/11/2011,1,0,1,11,0,2,1,2,0.2,0.47,0.1343,35
244,1/11/2011,1,0,1,12,0,2,1,2,0.2,0.51,0.1045,57
245,1/11/2011,1,0,1,13,0,2,1,2,0.2,0.59,0.0896,52
246,1/11/2011,1,0,1,14,0,2,1,2,0.2,0.59,0.0896,63
247,1/11/2011,1,0,1,15,0,2,1,2,0.16,0.8,0.0896,47
248,1/11/2011,1,0,1,16,0,2,1,2,0.16,0.86,0.2239,76
249,1/11/2011,1,0,1,17,0,2,1,2,0.16,0.86,0.2239,136
250,1/11/2011,1,0,1,18,0,2,1,3,0.16,0.93,0.1045,95
251,1/11/2011,1,0,1,19,0,2,1,3,0.16,0.93,0,51
252,1/11/2011,1,0,1,20,0,2,1,3,0.16,0.93,0.194,32
253,1/11/2011,1,0,1,21,0,2,1,3,0.16,0.86,0.0896,20
254,1/11/2011,1,0,1,22,0,2,1,3,0.16,0.93,0.1045,29
255,1/11/2011,1,0,1,23,0,2,1,3,0.16,0.93,0.0896,19
256,1/12/2011,1,0,1,0,0,3,1,2,0.16,0.86,0.0896,7
257,1/12/2011,1,0,1,1,0,3,1,2,0.16,0.86,0.1045,6
258,1/12/2011,1,0,1,2,0,3,1,1,0.14,0.86,0.1343,1
259,1/12/2011,1,0,1,5,0,3,1,1,0.14,0.86,0.1642,5
260,1/12/2011,1,0,1,6,0,3,1,1,0.12,0.93,0.1343,16
261,1/12/2011,1,0,1,7,0,3,1,1,0.14,0.69,0.1343,54
262,1/12/2011,1,0,1,8,0,3,1,1,0.16,0.59,0.1642,128
263,1/12/2011,1,0,1,9,0,3,1,1,0.16,0.59,0.3284,81
264,1/12/2011,1,0,1,10,0,3,1,1,0.18,0.55,0.2239,39
265,1/12/2011,1,0,1,11,0,3,1,1,0.2,0.51,0.3881,35
266,1/12/2011,1,0,1,12,0,3,1,1,0.2,0.47,0.5821,55
267,1/12/2011,1,0,1,13,0,3,1,1,0.22,0.44,0.3582,49
268,1/12/2011,1,0,1,14,0,3,1,1,0.2,0.47,0.3284,44
269,1/12/2011,1,0,1,15,0,3,1,1,0.2,0.47,0.4179,49
270,1/12/2011,1,0,1,16,0,3,1,1,0.22,0.44,0.3284,68
271,1/12/2011,1,0,1,17,0,3,1,1,0.2,0.47,0.3582,139
272,1/12/2011,1,0,1,18,0,3,1,1,0.2,0.47,0.5224,137
273,1/12/2011,1,0,1,19,0,3,1,1,0.18,0.47,0.4179,83
274,1/12/2011,1,0,1,20,0,3,1,1,0.16,0.5,0.3284,56
275,1/12/2011,1,0,1,21,0,3,1,1,0.16,0.55,0.3284,57
276,1/12/2011,1,0,1,22,0,3,1,1,0.16,0.55,0.4478,33
277,1/12/2011,1,0,1,23,0,3,1,1,0.14,0.59,0.4179,20
278,1/13/2011,1,0,1,0,0,4,1,1,0.14,0.59,0.2836,7
279,1/13/2011,1,0,1,1,0,4,1,1,0.14,0.5,0.2836,2
280,1/13/2011,1,0,1,2,0,4,1,1,0.14,0.5,0.3582,2
281,1/13/2011,1,0,1,3,0,4,1,1,0.14,0.5,0.3284,3
282,1/13/2011,1,0,1,4,0,4,1,1,0.14,0.5,0.2537,4
283,1/13/2011,1,0,1,5,0,4,1,1,0.14,0.5,0.2985,3
284,1/13/2011,1,0,1,6,0,4,1,1,0.12,0.54,0.1343,28
285,1/13/2011,1,0,1,7,0,4,1,1,0.12,0.54,0.1343,72
286,1/13/2011,1,0,1,8,0,4,1,1,0.14,0.5,0.194,202
287,1/13/2011,1,0,1,9,0,4,1,1,0.14,0.5,0.3284,139
288,1/13/2011,1,0,1,10,0,4,1,2,0.16,0.5,0.3582,38
289,1/13/2011,1,0,1,11,0,4,1,2,0.2,0.44,0.4478,37
290,1/13/2011,1,0,1,12,0,4,1,1,0.2,0.44,0.4179,52
291,1/13/2011,1,0,1,13,0,4,1,1,0.22,0.41,0.4478,83
292,1/13/2011,1,0,1,14,0,4,1,1,0.22,0.41,0.3881,42
293,1/13/2011,1,0,1,15,0,4,1,1,0.24,0.38,0.2985,60
294,1/13/2011,1,0,1,16,0,4,1,1,0.24,0.38,0.3582,78
295,1/13/2011,1,0,1,17,0,4,1,1,0.2,0.4,0.2836,162
296,1/13/2011,1,0,1,18,0,4,1,1,0.2,0.4,0.3284,144
297,1/13/2011,1,0,1,19,0,4,1,1,0.16,0.47,0.2537,99
298,1/13/2011,1,0,1,20,0,4,1,1,0.16,0.47,0.2239,64
299,1/13/2011,1,0,1,21,0,4,1,1,0.14,0.46,0.2985,40
300,1/13/2011,1,0,1,22,0,4,1,1,0.14,0.46,0.3284,30
301,1/13/2011,1,0,1,23,0,4,1,1,0.12,0.5,0.194,15
302,1/14/2011,1,0,1,0,0,5,1,1,0.12,0.5,0.194,14
303,1/14/2011,1,0,1,1,0,5,1,1,0.1,0.54,0.1642,5
304,1/14/2011,1,0,1,2,0,5,1,1,0.1,0.54,0.1343,1
305,1/14/2011,1,0,1,3,0,5,1,1,0.1,0.54,0.1045,1
306,1/14/2011,1,0,1,5,0,5,1,1,0.1,0.54,0.0896,8
307,1/14/2011,1,0,1,6,0,5,1,1,0.1,0.54,0,17
308,1/14/2011,1,0,1,7,0,5,1,1,0.1,0.74,0.1642,70
309,1/14/2011,1,0,1,8,0,5,1,1,0.12,0.68,0,158
310,1/14/2011,1,0,1,9,0,5,1,1,0.14,0.69,0.1343,117
311,1/14/2011,1,0,1,10,0,5,1,1,0.18,0.55,0.194,44
312,1/14/2011,1,0,1,11,0,5,1,1,0.18,0.51,0.2836,53
313,1/14/2011,1,0,1,12,0,5,1,1,0.2,0.44,0.2537,61
314,1/14/2011,1,0,1,13,0,5,1,1,0.22,0.37,0.3881,77
315,1/14/2011,1,0,1,14,0,5,1,1,0.22,0.41,0.2836,64
316,1/14/2011,1,0,1,15,0,5,1,1,0.24,0.38,0.1642,68
317,1/14/2011,1,0,1,16,0,5,1,1,0.22,0.41,0.1045,90
318,1/14/2011,1,0,1,17,0,5,1,1,0.22,0.41,0.1642,159
319,1/14/2011,1,0,1,18,0,5,1,1,0.2,0.47,0,139
320,1/14/2011,1,0,1,19,0,5,1,1,0.16,0.59,0.0896,92
321,1/14/2011,1,0,1,20,0,5,1,1,0.18,0.59,0,68
322,1/14/2011,1,0,1,21,0,5,1,1,0.16,0.69,0,52
323,1/14/2011,1,0,1,22,0,5,1,2,0.16,0.69,0,36
324,1/14/2011,1,0,1,23,0,5,1,2,0.18,0.55,0,27
325,1/15/2011,1,0,1,0,0,6,0,1,0.18,0.55,0,28
326,1/15/2011,1,0,1,1,0,6,0,2,0.16,0.59,0.0896,20
327,1/15/2011,1,0,1,2,0,6,0,2,0.16,0.59,0.0896,12
328,1/15/2011,1,0,1,3,0,6,0,2,0.16,0.59,0,8
329,1/15/2011,1,0,1,4,0,6,0,2,0.16,0.59,0,5
330,1/15/2011,1,0,1,5,0,6,0,1,0.16,0.59,0,1
331,1/15/2011,1,0,1,6,0,6,0,1,0.14,0.63,0.1045,3
332,1/15/2011,1,0,1,7,0,6,0,1,0.14,0.63,0,10
333,1/15/2011,1,0,1,8,0,6,0,1,0.14,0.63,0.1343,23
334,1/15/2011,1,0,1,9,0,6,0,1,0.16,0.64,0.1343,33
335,1/15/2011,1,0,1,10,0,6,0,1,0.18,0.59,0.1642,59
336,1/15/2011,1,0,1,11,0,6,0,1,0.2,0.55,0.2239,72
337,1/15/2011,1,0,1,12,0,6,0,1,0.24,0.48,0.2239,89
338,1/15/2011,1,0,1,13,0,6,0,1,0.28,0.38,0.2985,101
339,1/15/2011,1,0,1,14,0,6,0,1,0.3,0.39,0.2836,118
340,1/15/2011,1,0,1,15,0,6,0,2,0.32,0.36,0.194,129
341,1/15/2011,1,0,1,16,0,6,0,2,0.34,0.34,0.194,128
342,1/15/2011,1,0,1,17,0,6,0,2,0.32,0.36,0.2836,83
343,1/15/2011,1,0,1,18,0,6,0,2,0.3,0.45,0.2537,84
344,1/15/2011,1,0,1,19,0,6,0,2,0.32,0.39,0.2537,74
345,1/15/2011,1,0,1,20,0,6,0,2,0.32,0.39,0.2537,41
346,1/15/2011,1,0,1,21,0,6,0,2,0.32,0.39,0.2239,57
347,1/15/2011,1,0,1,22,0,6,0,2,0.3,0.42,0.1045,26
348,1/15/2011,1,0,1,23,0,6,0,1,0.3,0.45,0.2836,44
349,1/16/2011,1,0,1,0,0,0,0,1,0.26,0.56,0,39
350,1/16/2011,1,0,1,1,0,0,0,1,0.26,0.56,0.1343,23
351,1/16/2011,1,0,1,2,0,0,0,1,0.26,0.56,0.0896,16
